発生日:2011/ 9/28 発生場所(33.538333, 132.381000) 震度:2
発生日:2011/10/21 発生場所(33.591833, 135.330333) 震度:2
発生日:2011/ 3/27 発生場所(33.592167, 132.554667) 震度:2
発生日:2011/10/ 7 発生場所(33.671167, 130.418000) 震度:1
発生日:2011/ 1/ 3 発生場所(33.671667, 130.417167) 震度:2
発生日:2011/ 9/11 発生場所(33.683333, 135.331667) 震度:2
発生日:2011/ 3/19 発生場所(33.699500, 135.155833) 震度:1
発生日:2011/ 4/29 発生場所(33.710333, 132.367667) 震度:1
発生日:2011/11/ 5 発生場所(33.735167, 134.922667) 震度:2
発生日:2011/12/21 発生場所(33.736667, 130.239000) 震度:1
発生日:2011/10/ 1 発生場所(33.788000, 132.617167) 震度:1
発生日:2011/ 6/22 発生場所(33.795000, 133.520500) 震度:1
発生日:2011/ 8/27 発生場所(33.828833, 135.585833) 震度:1
発生日:2011/10/23 発生場所(33.829333, 134.979000) 震度:1
発生日:2011/10/15 発生場所(33.829500, 134.985667) 震度:1
発生日:2011/11/18 発生場所(33.829667, 134.977333) 震度:1
発生日:2011/10/24 発生場所(33.829667, 134.979167) 震度:1
発生日:2011/10/20 発生場所(33.830500, 134.984500) 震度:1
発生日:2011/12/28 発生場所(33.835000, 134.984833) 震度:2
発生日:2011/10/ 8 発生場所(33.836333, 134.988500) 震度:3
発生日:2011/ 7/24 発生場所(33.840167, 134.966833) 震度:1
発生日:2011/ 5/ 7 発生場所(33.856333, 134.685167) 震度:3
発生日:2011/ 5/ 7 発生場所(33.858500, 134.682500) 震度:2
発生日:2011/ 6/17 発生場所(33.864167, 135.368500) 震度:1
発生日:2011/10/ 2 発生場所(33.869333, 135.510167) 震度:1
発生日:2011/ 2/21 発生場所(33.877333, 135.364833) 震度:4
発生日:2011/10/24 発生場所(33.906500, 135.648333) 震度:1
発生日:2011/10/24 発生場所(33.906833, 135.649167) 震度:1
発生日:2011/ 4/11 発生場所(33.913333, 135.233000) 震度:1
発生日:2011/ 7/24 発生場所(33.920333, 136.138667) 震度:4
発生日:2011/ 4/22 発生場所(33.926000, 132.066000) 震度:1
発生日:2011/ 7/ 4 発生場所(33.930167, 135.547833) 震度:1
発生日:2011/ 7/ 4 発生場所(33.931500, 135.547333) 震度:3
発生日:2011/12/14 発生場所(33.946333, 133.591167) 震度:1
発生日:2011/ 6/ 8 発生場所(33.964667, 132.978167) 震度:2
